user_id,genres,year_review_posted,playtime_forever
76561197970982479,Action,2011.0,271.0
76561197970982479,Indie,2011.0,271.0
76561197970982479,Action,2011.0,10006.0
js41637,Indie,2013.0,551.0
js41637,Simulation,2013.0,551.0
js41637,Adventure,2013.0,349.0
js41637,Indie,2013.0,349.0
evcentric,Action,2014.0,3225.0
evcentric,Indie,2014.0,3225.0
evcentric,Rpg,2014.0,3225.0
evcentric,Strategy,2014.0,3225.0
evcentric,Indie,2014.0,13618.0
evcentric,Simulation,2014.0,13618.0
evcentric,Strategy,2014.0,13618.0
evcentric,Action,2014.0,447.0
evcentric,Indie,2014.0,447.0
evcentric,Rpg,2014.0,447.0
evcentric,Action,2014.0,508.0
evcentric,Indie,2014.0,508.0
evcentric,Rpg,2014.0,508.0
evcentric,Indie,2015.0,403.0
evcentric,Simulation,2015.0,403.0
doctr,Rpg,2012.0,2981.0
doctr,Action,2012.0,1185.0
doctr,Adventure,2012.0,1185.0
doctr,Adventure,2012.0,1972.0
doctr,Action,2012.0,5297.0
doctr,Adventure,2013.0,778.0
maplemage,Action,2014.0,12347.0
maplemage,Rpg,2014.0,12347.0
maplemage,Action,2013.0,17589.0
maplemage,Free To Play,2013.0,17589.0
maplemage,Indie,2013.0,17589.0
maplemage,Strategy,2013.0,17589.0
maplemage,Action,2014.0,13955.0
maplemage,Action,2013.0,3436.0
maplemage,Adventure,2013.0,3436.0
maplemage,Casual,2013.0,3436.0
maplemage,Indie,2013.0,3436.0
maplemage,Rpg,2013.0,3436.0
76561198077246154,Action,2014.0,25150.0
76561198077246154,Adventure,2014.0,25150.0
76561198077246154,Casual,2014.0,25150.0
76561198077246154,Free To Play,2014.0,25150.0
76561198077246154,Indie,2014.0,25150.0
WeiEDKrSat,Indie,2013.0,16441.0
WeiEDKrSat,Simulation,2013.0,16441.0
thequeenpanda,Action,2012.0,1219.0
thequeenpanda,Rpg,2012.0,1219.0
death-hunter,Indie,2014.0,243840.0
death-hunter,Simulation,2014.0,243840.0
death-hunter,Action,2015.0,3789.0
DJKamBer,Action,2013.0,2851.0
DJKamBer,Action,2013.0,7366.0
DJKamBer,Free To Play,2013.0,7366.0
DJKamBer,Indie,2013.0,7366.0
DJKamBer,Action,2014.0,770.0
DJKamBer,Adventure,2014.0,770.0
DJKamBer,Casual,2014.0,770.0
DJKamBer,Free To Play,2014.0,770.0
DJKamBer,Indie,2014.0,770.0
Rainbow-Dashie,Action,2015.0,21385.0
MarbleShrine,Indie,2015.0,8592.0
MarbleShrine,Simulation,2015.0,8592.0
PPanther,Action,2014.0,11721.0
PPanther,Adventure,2014.0,11721.0
PPanther,Casual,2014.0,11721.0
PPanther,Indie,2014.0,11721.0
PPanther,Rpg,2014.0,11721.0
devvonst,Adventure,2014.0,29.0
devvonst,Indie,2014.0,29.0
devvonst,Action,2015.0,7022.0
76561198058373434,Action,2015.0,962.0
76561198048353577,Action,2013.0,6684.0
76561198048353577,Simulation,2013.0,6684.0
76561198048353577,Strategy,2013.0,6684.0
76561198048353577,Indie,2015.0,602.0
76561198048353577,Simulation,2015.0,602.0
76561198048353577,Strategy,2015.0,602.0
76561198066046412,Action,2015.0,47800.0
76561198066046412,Indie,2015.0,47800.0
tru_mu_,Indie,2015.0,620.0
tru_mu_,Simulation,2015.0,620.0
tru_mu_,Strategy,2015.0,620.0
76561198070565427,Action,2015.0,944.0
76561198070565427,Free To Play,2015.0,944.0
76561198070565427,Indie,2015.0,944.0
76561198070565427,Action,2014.0,3061.0
76561198070565427,Free To Play,2014.0,3061.0
76561198070565427,Indie,2014.0,3061.0
SavageEeEe,Action,2015.0,54642.0
SavageEeEe,Indie,2015.0,54642.0
SavageEeEe,Massively Multiplayer,2015.0,54642.0
SavageEeEe,Early Access,2015.0,54642.0
KanadeTheNeko,Indie,2014.0,44455.0
KanadeTheNeko,Simulation,2014.0,44455.0
KanadeTheNeko,Adventure,2014.0,45.0
KanadeTheNeko,Casual,2014.0,45.0
KanadeTheNeko,Free To Play,2014.0,45.0
KanadeTheNeko,Indie,2014.0,45.0
GoAwayZach,Action,2014.0,8496.0
GoAwayZach,Adventure,2014.0,8496.0
GoAwayZach,Casual,2014.0,8496.0
GoAwayZach,Free To Play,2014.0,8496.0
GoAwayZach,Indie,2014.0,8496.0
76561198054540475,Action,2014.0,8044.0
76561198054540475,Rpg,2014.0,8044.0
76561198061252210,Action,2015.0,41281.0
OfficialShroomsy,Action,2013.0,1319.0
OfficialShroomsy,Adventure,2013.0,1319.0
OfficialShroomsy,Indie,2013.0,1319.0
OfficialShroomsy,Rpg,2013.0,1319.0
VVillis,Action,2015.0,132.0
VVillis,Adventure,2015.0,132.0
VVillis,Rpg,2015.0,132.0
76561198083226897,Action,2015.0,12932.0
76561198083226897,Adventure,2015.0,12932.0
76561198083226897,Indie,2015.0,12932.0
76561198083226897,Rpg,2015.0,12932.0
76561198075277292,Action,2015.0,43739.0
76561198028895010,Action,2012.0,1903.0
76561198028895010,Adventure,2012.0,1903.0
diego9031,Action,2015.0,603.0
diego9031,Action,2015.0,1204.0
diego9031,Action,2015.0,665.0
diego9031,Adventure,2015.0,665.0
diego9031,Casual,2015.0,665.0
diego9031,Indie,2015.0,665.0
diego9031,Rpg,2015.0,665.0
diego9031,Action,2015.0,30.0
diego9031,Adventure,2015.0,30.0
diego9031,Indie,2015.0,30.0
diego9031,Action,2013.0,1116.0
diego9031,Free To Play,2013.0,1116.0
diego9031,Indie,2013.0,1116.0
diego9031,Action,2015.0,577.0
diego9031,Free To Play,2015.0,577.0
diego9031,Massively Multiplayer,2015.0,577.0
diego9031,Strategy,2015.0,577.0
76561198070194565,Action,2015.0,1039.0
76561198070194565,Free To Play,2015.0,1039.0
76561198070194565,Indie,2015.0,1039.0
76561198070194565,Strategy,2015.0,1039.0
Rivtex,Action,2015.0,5145.0
Rivtex,Adventure,2015.0,5145.0
Rivtex,Indie,2015.0,5145.0
Rivtex,Simulation,2015.0,5145.0
Rivtex,Strategy,2015.0,5145.0
UTNerd24,Action,2013.0,27.0
UTNerd24,Action,2015.0,43.0
UTNerd24,Adventure,2015.0,43.0
UTNerd24,Casual,2015.0,43.0
UTNerd24,Indie,2015.0,43.0
UTNerd24,Adventure,2014.0,164.0
UTNerd24,Indie,2014.0,164.0
UTNerd24,Action,2015.0,20.0
UTNerd24,Casual,2015.0,20.0
UTNerd24,Indie,2015.0,20.0
sandwiches1,Adventure,2015.0,55.0
sandwiches1,Casual,2015.0,55.0
sandwiches1,Free To Play,2015.0,55.0
sandwiches1,Indie,2015.0,55.0
sandwiches1,Simulation,2015.0,55.0
Life-Of-Blu,Action,2013.0,8729.0
Life-Of-Blu,Adventure,2013.0,8729.0
Life-Of-Blu,Casual,2013.0,8729.0
Life-Of-Blu,Indie,2013.0,8729.0
Life-Of-Blu,Rpg,2013.0,8729.0
Life-Of-Blu,Rpg,2015.0,4509.0
CaptianAutismo,Action,2015.0,26620.0
CaptianAutismo,Adventure,2015.0,26620.0
CaptianAutismo,Indie,2015.0,26620.0
CaptianAutismo,Massively Multiplayer,2015.0,26620.0
CaptianAutismo,Rpg,2015.0,26620.0
CaptianAutismo,Early Access,2015.0,26620.0
kube134,Indie,2014.0,181.0
kube134,Rpg,2014.0,181.0
kube134,Simulation,2014.0,181.0
kube134,Strategy,2014.0,181.0
iamthekingofbrowntown,Action,2015.0,5512.0
iamthekingofbrowntown,Indie,2015.0,5512.0
iamthekingofbrowntown,Racing,2015.0,5512.0
iamthekingofbrowntown,Sports,2015.0,5512.0
iamthekingofbrowntown,Action,2015.0,917.0
